CNTY_NM,count
Hidalgo,6
Bee,2
Bexar,44
Tarrant,40
Dallas,56
Houston,1
Hunt,4
Harris,126
Collin,7
Wharton,1
Madison,1
Nueces,16
Smith,12
Grayson,3
Ellis,2
Kerr,3
Val Verde,1
Leon,2
Lubbock,12
Victoria,2
Jefferson,15
McLennan,7
Cherokee,3
Navarro,6
Brazos,12
Gregg,5
Polk,2
Montgomery,15
Denton,6
Fort Bend,5
Bowie,5
Lamar,2
Travis,8
El Paso,3
Walker,3
Llano,1
Anderson,4
Nacogdoches,1
Wood,1
Red River,2
Brazoria,4
Bell,3
Hopkins,1
Kaufman,1
Potter,10
Matagorda,2
Randall,3
Bailey,1
Pecos,2
Williamson,3
Refugio,2
Cameron,6
Tom Green,3
Galveston,6
Kendall,1
Atascosa,1
Liberty,3
Johnson,2
San Patricio,1
Wilbarger,2
Comal,2
Wichita,2
Newton,1
Morris,1
Gillespie,1
Coryell,1
Parker,2
San Jacinto,1
Jones,1
Brown,1
Hale,2
Bastrop,1
Taylor,5
Henderson,2
Freestone,1
Sabine,1
Trinity,1
Upshur,1
Lee,1
Shelby,1
Caldwell,1
Clay,1
Harrison,1
Crockett,1
Dawson,1
Aransas,1
Scurry,1
Kleberg,1
Hamilton,1
Milam,1
Chambers,1
Hardin,1
